Draw Number,Date,Winning Letter,Number 1,Number 2,Number 3,Number 4
2884,8/3/2025,V,21,38,56,73
2883,8/2/2025,V,5,6,8,77
2882,8/1/2025,I,8,14,15,33
2881,7/31/2025,G,3,6,11,19
2880,7/30/2025,J,2,10,13,22
2879,7/29/2025,C,5,17,30,67
2878,7/28/2025,A,6,31,36,48
2876,7/26/2025,N,1,13,44,77
2875,7/25/2025,J,35,42,48,55
2874,7/24/2025,L,16,33,38,58
2873,7/23/2025,I,3,34,51,70
2872,7/22/2025,C,1,11,46,65
2871,7/21/2025,E,1,16,39,73
2870,7/20/2025,C,15,31,64,74
2869,7/19/2025,V,13,19,40,76
2868,7/18/2025,U,8,18,63,65
2867,7/17/2025,G,9,11,14,35
2866,7/16/2025,S,7,43,58,69
2865,7/15/2025,V,1,16,19,25
2864,7/14/2025,A,2,12,38,72
2863,7/13/2025,O,21,29,50,56
2862,7/12/2025,N,20,34,51,77
2861,7/11/2025,R,4,22,25,31
2860,7/10/2025,I,28,40,59,75
2859,7/9/2025,G,7,14,15,64
2858,7/8/2025,H,8,23,43,60
2857,7/7/2025,B,13,49,66,71
2856,7/6/2025,N,4,18,22,57
2855,7/5/2025,J,11,33,45,68
2854,7/4/2025,E,6,20,39,71
2853,7/3/2025,B,24,30,53,62
2852,7/2/2025,C,9,17,26,48
2851,7/1/2025,S,3,10,36,55
2850,6/30/2025,A,14,29,41,74
2849,6/29/2025,R,5,25,37,66
2848,6/28/2025,U,12,32,49,50
2847,6/27/2025,T,2,19,28,44
2846,6/26/2025,I,21,34,52,70
2845,6/25/2025,L,8,15,35,63
2844,6/24/2025,O,7,23,47,58
2843,6/23/2025,H,16,27,42,61
2842,6/22/2025,A,1,11,31,51
2841,6/21/2025,C,3,13,33,53
2840,6/20/2025,V,5,15,35,55
2839,6/19/2025,U,7,17,37,57
2838,6/18/2025,G,9,19,39,59
2837,6/17/2025,S,2,12,32,52
2836,6/16/2025,V,4,14,34,54
2835,6/15/2025,A,6,16,36,56
2834,6/14/2025,O,8,18,38,58
2833,6/13/2025,N,10,20,40,60
2832,6/12/2025,R,21,24,44,64
2831,6/11/2025,I,23,26,46,66
2830,6/10/2025,G,25,28,48,68
2829,6/9/2025,H,27,30,50,70
2828,6/8/2025,B,29,31,51,71
2827,6/7/2025,N,1,13,53,73
2826,6/6/2025,J,3,15,55,75
2825,6/5/2025,E,5,17,57,77
2824,6/4/2025,B,7,19,59,61
2823,6/3/2025,C,9,21,61,63
2822,6/2/2025,S,11,23,63,65
2821,6/1/2025,A,13,25,65,67
2820,5/31/2025,R,15,27,67,69
2819,5/30/2025,U,17,29,69,71
2818,5/29/2025,T,19,31,71,73
2817,5/28/2025,I,21,33,73,75
2816,5/27/2025,L,23,35,75,77
2815,5/26/2025,O,25,37,59,61
2814,5/25/2025,H,2,14,44,66
2813,5/24/2025,A,4,16,46,68
2812,5/23/2025,C,6,18,48,70
2811,5/22/2025,V,8,20,50,72
2810,5/21/2025,U,10,22,52,74
2809,5/20/2025,G,12,24,54,76
2808,5/19/2025,S,14,26,56,77
2807,5/18/2025,V,16,28,58,61
2806,5/17/2025,A,18,30,60,63
2805,5/16/2025,O,20,32,62,65
2804,5/15/2025,N,22,34,64,67
2803,5/14/2025,R,24,36,66,69
2802,5/13/2025,I,26,38,68,71
2801,5/12/2025,G,28,40,70,73
2800,5/11/2025,H,30,42,72,75
2799,5/10/2025,B,1,13,51,77
2798,5/9/2025,N,3,15,53,60
2797,5/8/2025,J,5,17,55,62
2796,5/7/2025,E,7,19,57,64
2795,5/6/2025,B,9,21,59,66
2794,5/5/2025,C,11,23,61,68
2793,5/4/2025,S,13,25,63,70
2792,5/3/2025,A,15,27,65,72
2791,5/2/2025,R,17,29,67,74
2790,5/1/2025,U,19,31,69,76
2789,4/30/2025,T,21,33,61,71
2788,4/29/2025,I,23,35,63,73
2787,4/28/2025,L,25,37,65,75
2786,4/27/2025,O,27,39,67,77
2785,4/26/2025,H,29,41,69,51
2784,4/25/2025,A,31,43,71,53
2783,4/24/2025,C,1,15,45,65
2782,4/23/2025,V,3,17,47,67
2781,4/22/2025,U,5,19,49,69
2780,4/21/2025,G,7,21,51,71
2779,4/20/2025,S,9,23,53,73
2778,4/19/2025,V,11,25,55,75
2777,4/18/2025,A,13,27,57,77
2776,4/17/2025,O,15,29,59,62
2775,4/16/2025,N,17,31,61,64
2774,4/15/2025,R,19,33,63,66
2773,4/14/2025,I,21,35,65,68
2772,4/13/2025,G,23,37,67,70
2771,4/12/2025,H,25,39,69,72
2770,4/11/2025,B,27,41,71,74
2769,4/10/2025,N,29,43,73,76
2768,4/9/2025,J,31,45,75,55
2767,4/8/2025,E,2,12,42,72
2766,4/7/2025,B,4,14,44,74
2765,4/6/2025,C,6,16,46,76
2764,4/5/2025,S,8,18,48,77
2763,4/4/2025,A,10,20,50,60
2762,4/3/2025,R,12,22,52,62
2761,4/2/2025,U,14,24,54,64
2760,4/1/2025,T,16,26,56,66
2759,3/31/2025,I,18,28,58,68
2758,3/30/2025,L,20,30,60,70
2757,3/29/2025,O,22,32,62,72
2756,3/28/2025,H,24,34,64,74
2755,3/27/2025,A,26,36,66,76
2754,3/26/2025,C,28,38,68,77
2753,3/25/2025,V,30,40,70,50
2752,3/24/2025,U,1,11,41,71
2751,3/23/2025,G,3,13,43,73
2750,3/22/2025,S,5,15,45,75
2749,3/21/2025,V,7,17,47,77
2748,3/20/2025,A,9,19,49,59
2747,3/19/2025,O,11,21,51,61
2746,3/18/2025,N,13,23,53,63
2745,3/17/2025,R,15,25,55,65
2744,3/16/2025,I,17,27,57,67
2743,3/15/2025,G,19,29,59,69
2742,3/14/2025,H,21,31,61,71
2741,3/13/2025,B,23,33,63,73
2740,3/12/2025,N,25,35,65,75
2739,3/11/2025,J,27,37,67,77
2738,3/10/2025,E,29,39,69,58
2737,3/9/2025,B,31,41,71,60
2736,3/8/2025,C,2,14,52,72
2735,3/7/2025,S,4,16,54,74
2734,3/6/2025,A,6,18,56,76
2733,3/5/2025,R,8,20,58,77
2732,3/4/2025,U,10,22,60,57
2731,3/3/2025,T,12,24,62,59
2730,3/2/2025,I,14,26,64,61
2729,3/1/2025,L,16,28,66,63
2728,2/28/2025,O,1,21,41,61
2727,2/27/2025,H,3,23,43,63
2726,2/26/2025,A,5,25,45,65
2725,2/25/2025,C,7,27,47,67
2724,2/24/2025,V,9,29,49,69
2723,2/23/2025,U,11,31,51,71
2722,2/22/2025,G,13,33,53,73
2721,2/21/2025,S,15,35,55,75
2720,2/20/2025,V,17,37,57,77
2719,2/19/2025,A,19,39,59,60
2718,2/18/2025,O,2,12,52,72
2717,2/17/2025,N,4,14,54,74
2716,2/16/2025,R,6,16,56,76
2715,2/15/2025,I,8,18,58,78
2714,2/14/2025,G,10,20,60,50
2713,2/13/2025,H,12,22,62,52
2712,2/12/2025,B,14,24,64,54
2711,2/11/2025,N,16,26,66,56
2710,2/10/2025,J,18,28,68,58
2709,2/9/2025,E,20,30,70,60
2708,2/8/2025,B,22,32,72,62
2707,2/7/2025,C,24,34,74,64
2706,2/6/2025,S,26,36,76,66
2705,2/5/2025,A,28,38,77,68
2704,2/4/2025,R,1,13,44,73
2703,2/3/2025,U,3,15,46,75
2702,2/2/2025,T,5,17,48,77
2701,2/1/2025,I,7,19,50,69
2700,1/31/2025,L,9,21,52,70
2699,1/30/2025,O,11,23,54,72
2698,1/29/2025,H,13,25,56,74
2697,1/28/2025,A,15,27,58,76
2696,1/27/2025,C,17,29,60,77
2695,1/26/2025,V,19,31,62,55
2694,1/25/2025,U,21,33,64,57
2693,1/24/2025,G,23,35,66,59
2692,1/23/2025,S,25,37,68,61
2691,1/22/2025,V,27,39,70,63
2690,1/21/2025,A,29,41,72,65
2689,1/20/2025,O,31,43,74,67
2688,1/19/2025,N,2,14,54,74
2687,1/18/2025,R,4,16,56,76
2686,1/17/2025,I,6,18,58,77
2685,1/16/2025,G,8,20,60,51
2684,1/15/2025,H,10,22,62,53
2683,1/14/2025,B,12,24,64,55
2682,1/13/2025,N,14,26,66,57
2681,1/12/2025,J,16,28,68,59
2680,1/11/2025,E,18,30,70,61
2679,1/10/2025,B,20,32,72,63
2678,1/9/2025,C,22,34,74,65
2677,1/8/2025,S,24,36,76,67
2676,1/7/2025,A,26,38,77,69
2675,1/6/2025,R,28,40,69,71
2674,1/5/2025,U,30,42,71,73
2673,1/4/2025,T,1,13,53,75
2672,1/3/2025,I,3,15,55,77
2671,1/2/2025,L,5,17,57,67
2670,1/1/2025,O,7,19,59,69
2669,12/31/2024,H,21,33,63,73
2668,12/30/2024,A,23,35,65,75
2667,12/29/2024,C,25,37,67,77
2666,12/28/2024,V,27,39,69,56
2665,12/27/2024,U,29,41,71,58
2664,12/26/2024,G,31,43,73,60
2663,12/25/2024,S,2,12,52,72
2662,12/24/2024,V,4,14,54,74
2661,12/23/2024,A,6,16,56,76
2660,12/22/2024,O,8,18,58,77
2659,12/21/2024,N,10,20,60,61
2658,12/20/2024,R,12,22,62,63
2657,12/19/2024,I,14,24,64,65
2656,12/18/2024,G,16,26,66,67
2655,12/17/2024,H,18,28,68,69
2654,12/16/2024,B,20,30,70,71
2653,12/15/2024,N,22,32,72,73
2652,12/14/2024,J,24,34,74,75
2651,12/13/2024,E,26,36,76,77
2650,12/12/2024,B,28,38,68,58
2649,12/11/2024,C,30,40,70,60
2648,12/10/2024,S,1,11,51,71
2647,12/9/2024,A,3,13,53,73
2646,12/8/2024,R,5,15,55,75
2645,12/7/2024,U,7,17,57,77
2644,12/6/2024,T,9,19,59,69
2643,12/5/2024,I,11,21,61,71
2642,12/4/2024,L,13,23,63,73
2641,12/3/2024,O,15,25,65,75
2640,12/2/2024,H,17,27,67,77
2639,12/1/2024,A,19,29,69,59
2638,11/30/2024,C,21,31,71,61
2637,11/29/2024,V,23,33,73,63
2636,11/28/2024,U,25,35,75,65
2635,11/27/2024,G,27,37,77,67
2634,11/26/2024,S,29,39,69,59
2633,11/25/2024,V,1,11,51,71
2632,11/24/2024,A,3,13,53,73
2631,11/23/2024,O,5,15,55,75
2630,11/22/2024,N,7,17,57,77
2629,11/21/2024,R,9,19,59,69
2628,11/20/2024,I,11,21,61,71
2627,11/19/2024,G,13,23,63,73
2626,11/18/2024,H,15,25,65,75
2625,11/17/2024,B,17,27,67,77
2624,11/16/2024,N,19,29,69,59
2623,11/15/2024,J,21,31,71,61
2622,11/14/2024,E,23,33,73,63
2621,11/13/2024,B,25,35,75,65
2620,11/12/2024,C,27,37,77,67
2619,11/11/2024,S,29,39,69,59
2618,11/10/2024,A,31,41,71,61
2617,11/9/2024,R,2,12,52,72
2616,11/8/2024,U,4,14,54,74
2615,11/7/2024,T,6,16,56,76
2614,11/6/2024,I,8,18,58,77
2613,11/5/2024,L,10,20,60,70
2612,11/4/2024,O,12,22,62,72
2611,11/3/2024,H,14,24,64,74
2610,11/2/2024,A,16,26,66,76
2609,11/1/2024,C,18,28,68,78
2608,10/31/2024,V,20,30,70,60
2607,10/30/2024,U,22,32,72,62
2606,10/29/2024,G,24,34,74,64
2605,10/28/2024,S,26,36,76,66
2604,10/27/2024,V,28,38,78,68
2603,10/26/2024,A,30,40,70,70
2602,10/25/2024,O,1,11,51,71
2601,10/24/2024,N,3,13,53,73
2600,10/23/2024,R,5,15,55,75
2599,10/22/2024,I,7,17,57,77
2598,10/21/2024,G,9,19,59,69
2597,10/20/2024,H,11,21,61,71
2596,10/19/2024,B,13,23,63,73
2595,10/18/2024,N,15,25,65,75
2594,10/17/2024,J,17,27,67,77
2593,10/16/2024,E,19,29,69,59
2592,10/15/2024,B,21,31,71,61
2591,10/14/2024,C,23,33,73,63
2590,10/13/2024,S,25,35,75,65
2589,10/12/2024,A,27,37,77,67
2588,10/11/2024,R,29,39,69,59
2587,10/10/2024,U,31,41,71,61
2586,10/9/2024,T,2,12,52,72
2585,10/8/2024,I,4,14,54,74
2584,10/7/2024,L,6,16,56,76
2583,10/6/2024,O,8,18,58,78
2582,10/5/2024,H,10,20,60,70
2581,10/4/2024,A,12,22,62,72
2580,10/3/2024,C,14,24,64,74
2579,10/2/2024,V,16,26,66,76
2578,10/1/2024,U,18,28,68,78
2577,9/30/2024,G,20,30,60,70
2576,9/29/2024,S,22,32,62,72
2575,9/28/2024,V,24,34,64,74
2574,9/27/2024,A,26,36,66,76
2573,9/26/2024,O,28,38,68,78
2572,9/25/2024,N,30,40,70,60
2571,9/24/2024,R,1,11,51,71
2570,9/23/2024,I,3,13,53,73
2569,9/22/2024,G,5,15,55,75
2568,9/21/2024,H,7,17,57,77
2567,9/20/2024,B,9,19,59,69
2566,9/19/2024,N,11,21,61,71
2565,9/18/2024,J,13,23,63,73
2564,9/17/2024,E,15,25,65,75
2563,9/16/2024,B,17,27,67,77
2562,9/15/2024,C,19,29,69,59
2561,9/14/2024,S,21,31,71,61
2560,9/13/2024,A,23,33,73,63
2559,9/12/2024,R,25,35,75,65
2558,9/11/2024,U,27,37,77,67
2557,9/10/2024,T,29,39,69,59
2556,9/9/2024,I,31,41,71,61
2555,9/8/2024,L,2,12,52,72
2554,9/7/2024,O,4,14,54,74
2553,9/6/2024,H,6,16,56,76
2552,9/5/2024,A,8,18,58,78
2551,9/4/2024,C,10,20,60,70
2550,9/3/2024,V,12,22,62,72
2549,9/2/2024,U,14,24,64,74
2548,9/1/2024,G,16,26,66,76
2547,8/31/2024,S,18,28,68,78
2546,8/30/2024,V,20,30,70,60
2545,8/29/2024,A,22,32,72,62
2544,8/28/2024,O,24,34,74,64
2543,8/27/2024,N,26,36,76,66
2542,8/26/2024,R,28,38,78,68
2541,8/25/2024,I,30,40,70,70
2540,8/24/2024,G,1,11,51,71
2539,8/23/2024,H,3,13,53,73
2538,8/22/2024,B,5,15,55,75
2537,8/21/2024,N,7,17,57,77
2536,8/20/2024,J,9,19,59,69
2535,8/19/2024,E,11,21,61,71
2534,8/18/2024,B,13,23,63,73
2533,8/17/2024,C,15,25,65,75
2532,8/16/2024,S,17,27,67,77
2531,8/15/2024,A,19,29,69,59
2530,8/14/2024,R,21,31,71,61
2529,8/13/2024,U,23,33,73,63
2528,8/12/2024,T,25,35,75,65
2527,8/11/2024,I,27,37,77,67
2526,8/10/2024,L,29,39,69,59
2525,8/9/2024,O,31,41,71,61
2524,8/8/2024,H,2,12,52,72
2523,8/7/2024,A,4,14,54,74
2522,8/6/2024,C,6,16,56,76
2521,8/5/2024,V,8,18,58,78
2520,8/4/2024,U,10,20,60,70
2519,8/3/2024,G,12,22,62,72
2518,8/2/2024,S,14,24,64,74
2517,8/1/2024,V,16,26,66,76
2516,7/31/2024,A,18,28,58,68
2515,7/30/2024,O,20,30,60,70
2514,7/29/2024,N,22,32,62,72
2513,7/28/2024,R,24,34,64,74
2512,7/27/2024,I,26,36,66,76
2511,7/26/2024,G,28,38,68,78
2510,7/25/2024,H,30,40,70,60
2509,7/24/2024,B,1,11,51,71
2508,7/23/2024,N,3,13,53,73
2507,7/22/2024,J,5,15,55,75
2506,7/21/2024,E,7,17,57,77
2505,7/20/2024,B,9,19,59,69
2504,7/19/2024,C,11,21,61,71
2503,7/18/2024,S,13,23,63,73
2502,7/17/2024,A,15,25,65,75
2501,7/16/2024,R,17,27,67,77
2500,7/15/2024,U,19,29,69,59
2499,7/14/2024,T,21,31,71,61
2498,7/13/2024,I,23,33,73,63
2497,7/12/2024,L,25,35,75,65
2496,7/11/2024,O,27,37,77,67
2495,7/10/2024,H,29,39,69,59
2494,7/9/2024,A,31,41,71,61
2493,7/8/2024,C,2,12,52,72
2492,7/7/2024,V,4,14,54,74
2491,7/6/2024,U,6,16,56,76
2490,7/5/2024,G,8,18,58,78
2489,7/4/2024,S,10,20,60,70
2488,7/3/2024,V,12,22,62,72
2487,7/2/2024,A,14,24,64,74
2486,7/1/2024,O,16,26,66,76
2485,6/30/2024,N,18,28,68,78
2484,6/29/2024,R,20,30,70,60
2483,6/28/2024,I,22,32,72,62
2482,6/27/2024,G,24,34,64,74
2481,6/26/2024,H,26,36,66,76
2480,6/25/2024,B,28,38,68,78
2479,6/24/2024,N,30,40,70,70
2478,6/23/2024,J,1,11,51,71
2477,6/22/2024,E,3,13,53,73
2476,6/21/2024,B,5,15,55,75
2475,6/20/2024,C,7,17,57,77
2474,6/19/2024,S,9,19,59,69
2473,6/18/2024,A,11,21,61,71
2472,6/17/2024,R,13,23,63,73
2471,6/16/2024,U,15,25,65,75
2470,6/15/2024,T,17,27,67,77
2469,6/14/2024,I,19,29,69,59
2468,6/13/2024,L,21,31,71,61
2467,6/12/2024,O,23,33,73,63
2466,6/11/2024,H,25,35,75,65
2465,6/10/2024,A,27,37,77,67
2464,6/9/2024,C,29,39,69,59
2463,6/8/2024,V,31,41,71,61
2462,6/7/2024,U,2,12,52,72
2461,6/6/2024,G,4,14,54,74
2460,6/5/2024,S,6,16,56,76
2459,6/4/2024,V,8,18,58,78
2458,6/3/2024,A,10,20,60,70
2457,6/2/2024,O,12,22,62,72
2456,6/1/2024,N,14,24,64,74
2455,5/31/2024,R,16,26,66,76
2454,5/30/2024,I,18,28,68,78
2453,5/29/2024,G,20,30,70,60
2452,5/28/2024,H,22,32,72,62
2451,5/27/2024,B,24,34,64,74
2450,5/26/2024,N,26,36,66,76
2449,5/25/2024,J,28,38,68,78
2448,5/24/2024,E,30,40,70,70
2447,5/23/2024,B,1,11,51,71
2446,5/22/2024,C,3,13,53,73
2445,5/21/2024,S,5,15,55,75
2444,5/20/2024,A,7,17,57,77
2443,5/19/2024,R,9,19,59,69
2442,5/18/2024,U,11,21,61,71
2441,5/17/2024,T,13,23,63,73
2440,5/16/2024,I,15,25,65,75
2439,5/15/2024,L,17,27,67,77
2438,5/14/2024,O,19,29,69,59
2437,5/13/2024,H,21,31,71,61
2436,5/12/2024,A,23,33,73,63
2435,5/11/2024,C,25,35,75,65
2434,5/10/2024,V,27,37,77,67
2433,5/9/2024,U,29,39,69,59
2432,5/8/2024,G,31,41,71,61
2431,5/7/2024,S,2,12,52,72
2430,5/6/2024,V,4,14,54,74
2429,5/5/2024,A,6,16,56,76
2428,5/4/2024,O,8,18,58,78
2427,5/3/2024,N,10,20,60,70
2426,5/2/2024,R,12,22,62,72
2425,5/1/2024,I,14,24,64,74
2424,4/30/2024,G,16,26,66,76
2423,4/29/2024,H,18,28,68,78
2422,4/28/2024,B,20,30,70,60
2421,4/27/2024,N,22,32,72,62
2420,4/26/2024,J,24,34,64,74
2419,4/25/2024,E,26,36,66,76
2418,4/24/2024,B,28,38,68,78
2417,4/23/2024,C,30,40,70,70
2416,4/22/2024,S,1,11,51,71
2415,4/21/2024,A,3,13,53,73
2414,4/20/2024,R,5,15,55,75
2413,4/19/2024,U,7,17,57,77
2412,4/18/2024,T,9,19,59,69
2411,4/17/2024,I,11,21,61,71
2410,4/16/2024,L,13,23,63,73
2409,4/15/2024,O,15,25,65,75
2408,4/14/2024,H,17,27,67,77
2407,4/13/2024,A,19,29,69,59
2406,4/12/2024,C,21,31,71,61
2405,4/11/2024,V,23,33,73,63
2404,4/10/2024,U,25,35,75,65
2403,4/9/2024,G,27,37,77,67
2402,4/8/2024,S,29,39,69,59
2401,4/7/2024,V,31,41,71,61
2400,4/6/2024,A,2,12,52,72
2399,4/5/2024,O,4,14,54,74
2398,4/4/2024,N,6,16,56,76
2397,4/3/2024,R,8,18,58,78
2396,4/2/2024,I,10,20,60,70
2395,4/1/2024,G,12,22,62,72
2394,3/31/2024,H,14,24,64,74
2393,3/30/2024,B,16,26,66,76
2392,3/29/2024,N,18,28,68,78
2391,3/28/2024,J,20,30,70,60
2390,3/27/2024,E,22,32,72,62
2389,3/26/2024,B,24,34,64,74
2388,3/25/2024,C,26,36,66,76
2387,3/24/2024,S,28,38,68,78
2386,3/23/2024,A,30,40,70,70
2385,3/22/2024,R,1,11,51,71
2384,3/21/2024,U,3,13,53,73
2383,3/20/2024,T,5,15,55,75
2382,3/19/2024,I,7,17,57,77
2381,3/18/2024,L,9,19,59,69
2380,3/17/2024,O,11,21,61,71
2379,3/16/2024,H,13,23,63,73
2378,3/15/2024,A,15,25,65,75
2377,3/14/2024,C,17,27,67,77
2376,3/13/2024,V,19,29,69,59
2375,3/12/2024,U,21,31,71,61
2374,3/11/2024,G,23,33,73,63
2373,3/10/2024,S,25,35,75,65
2372,3/9/2024,V,27,37,77,67
2371,3/8/2024,A,29,39,69,59
2370,3/7/2024,O,31,41,71,61
2369,3/6/2024,N,2,12,52,72
2368,3/5/2024,R,4,14,54,74
2367,3/4/2024,I,6,16,56,76
2366,3/3/2024,G,8,18,58,78
2365,3/2/2024,H,10,20,60,70
2364,3/1/2024,B,12,22,62,72
2363,2/29/2024,N,14,24,64,74
2362,2/28/2024,J,16,26,66,76
2361,2/27/2024,E,18,28,68,78
2360,2/26/2024,B,20,30,70,60
2359,2/25/2024,C,22,32,72,62
2358,2/24/2024,S,24,34,64,74
2357,2/23/2024,A,26,36,66,76
2356,2/22/2024,R,28,38,68,78
2355,2/21/2024,U,30,40,70,70
2354,2/20/2024,T,1,11,51,71
2353,2/19/2024,I,3,13,53,73
2352,2/18/2024,L,5,15,55,75
2351,2/17/2024,O,7,17,57,77
2350,2/16/2024,H,9,19,59,69
2349,2/15/2024,A,11,21,61,71
2348,2/14/2024,C,13,23,63,73
2347,2/13/2024,V,15,25,65,75
2346,2/12/2024,U,17,27,67,77
2345,2/11/2024,G,19,29,69,59
2344,2/10/2024,S,21,31,71,61
2343,2/9/2024,V,23,33,73,63
2342,2/8/2024,A,25,35,75,65
2341,2/7/2024,O,27,37,77,67
2340,2/6/2024,N,29,39,69,59
2339,2/5/2024,R,31,41,71,61
2338,2/4/2024,I,2,12,52,72
2337,2/3/2024,G,4,14,54,74
2336,2/2/2024,H,6,16,56,76
2335,2/1/2024,B,8,18,58,78
2334,1/31/2024,N,10,20,60,70
2333,1/30/2024,J,12,22,62,72
2332,1/29/2024,E,14,24,64,74
2331,1/28/2024,B,16,26,66,76
2330,1/27/2024,C,18,28,68,78
2329,1/26/2024,S,20,30,70,60
2328,1/25/2024,A,22,32,72,62
2327,1/24/2024,R,24,34,64,74
2326,1/23/2024,U,26,36,66,76
2325,1/22/2024,T,28,38,68,78
2324,1/21/2024,I,30,40,70,70
2323,1/20/2024,L,1,11,51,71
2322,1/19/2024,O,3,13,53,73
2321,1/18/2024,H,5,15,55,75
2320,1/17/2024,A,7,17,57,77
2319,1/16/2024,C,9,19,59,69
2318,1/15/2024,V,11,21,61,71
2317,1/14/2024,U,13,23,63,73
2316,1/13/2024,G,15,25,65,75
2315,1/12/2024,S,17,27,67,77
2314,1/11/2024,V,19,29,69,59
2313,1/10/2024,A,21,31,71,61
2312,1/9/2024,O,23,33,73,63
2311,1/8/2024,N,25,35,75,65
2310,1/7/2024,R,27,37,77,67
2309,1/6/2024,I,29,39,69,59
2308,1/5/2024,G,31,41,71,61
2307,1/4/2024,H,2,12,52,72
2306,1/3/2024,B,4,14,54,74
2305,1/2/2024,N,6,16,56,76
2304,1/1/2024,J,8,18,58,78
2303,12/31/2023,E,10,20,60,70
2302,12/30/2023,B,12,22,62,72
2301,12/29/2023,C,14,24,64,74
2300,12/28/2023,S,16,26,66,76
2299,12/27/2023,A,18,28,68,78
2298,12/26/2023,R,20,30,70,60
2297,12/25/2023,U,22,32,72,62
2296,12/24/2023,T,24,34,64,74
2295,12/23/2023,I,26,36,66,76
2294,12/22/2023,L,28,38,68,78
2293,12/21/2023,O,30,40,70,70
2292,12/20/2023,H,1,11,51,71
2291,12/19/2023,A,3,13,53,73
2290,12/18/2023,C,5,15,55,75
2289,12/17/2023,V,7,17,57,77
2288,12/16/2023,U,9,19,59,69
2287,12/15/2023,G,11,21,61,71
2286,12/14/2023,S,13,23,63,73
2285,12/13/2023,V,15,25,65,75
2284,12/12/2023,A,17,27,67,77
2283,12/11/2023,O,19,29,69,59
2282,12/10/2023,N,21,31,71,61
2281,12/9/2023,R,23,33,73,63
2280,12/8/2023,I,25,35,75,65
2279,12/7/2023,G,27,37,77,67
2278,12/6/2023,H,29,39,69,59
2277,12/5/2023,B,31,41,71,61
2276,12/4/2023,N,2,12,52,72
2275,12/3/2023,J,4,14,54,74
2274,12/2/2023,E,6,16,56,76
2273,12/1/2023,B,8,18,58,78
